,credit.policy,int.rate,installment,revol.bal,inq.last.6mths,delinq.2yrs,pub.rec,not.fully.paid,education_or_small_business,major_purchase_or_credit_card,demerits
53,1,0.0996,112.87,2864,1,0,0,0,1,0,1
54,1,0.1596,94.88,3075,1,0,0,0,0,0,1
55,1,0.1059,398.69,17214,2,1,0,0,1,0,3
56,1,0.1154,39.6,1153,2,0,0,0,0,1,2
57,1,0.1343,678.08,41674,0,0,0,1,0,1,0
58,1,0.1249,401.37,43039,3,0,0,0,0,1,3
59,1,0.0964,205.45,3362,0,0,0,0,0,0,0
60,1,0.1186,397.75,11868,0,2,0,0,0,0,2
61,1,0.0743,155.38,2562,2,0,0,0,0,0,2
62,1,0.1028,113.39,1882,0,0,0,0,0,0,0
63,1,0.1186,99.44,1064,2,0,1,0,0,0,3
64,1,0.0807,109.79,6432,0,1,0,0,0,1,1
65,1,0.1059,32.55,4485,1,0,0,1,0,0,1
66,1,0.0996,112.87,16310,0,1,0,0,0,0,1
67,1,0.0964,160.51,20969,0,0,0,0,0,0,0
68,1,0.1375,340.57,22213,0,0,0,0,0,0,0
69,1,0.0775,156.11,2160,1,0,0,0,0,0,1
70,1,0.0743,155.38,813,0,0,0,0,0,1,0
71,1,0.0807,235.25,23678,4,0,0,0,0,0,4
72,1,0.0996,257.99,11289,3,0,0,0,0,0,3
73,1,0.1501,225.37,56411,0,0,0,1,1,0,0
74,1,0.0964,80.26,269,3,0,0,1,0,0,3
75,1,0.128,84.0,3408,1,0,0,1,0,0,1
76,1,0.1122,507.46,6513,3,0,1,1,0,0,4
77,1,0.0743,124.31,330,0,0,0,0,1,0,0
78,1,0.087,63.32,5967,1,0,0,0,0,1,1
79,1,0.1091,130.79,5533,1,0,0,0,0,0,1
80,1,0.0775,93.67,21050,0,0,0,0,0,0,0
81,1,0.0775,93.67,21050,0,0,0,0,0,0,0
82,1,0.087,88.65,8155,1,0,0,0,0,0,1
83,1,0.0964,128.41,8155,1,0,0,0,0,0,1
84,1,0.087,94.98,3678,0,0,0,0,0,0,0
85,1,0.1217,179.8,2040,2,0,0,0,0,0,2
86,1,0.1533,444.05,33074,2,0,0,0,0,1,2
87,1,0.0775,124.89,1918,0,0,0,0,0,0,0
88,1,0.1533,644.3,22379,0,0,0,0,0,1,0
89,1,0.0964,642.02,10296,0,0,0,1,1,0,0
90,1,0.1154,104.76,2867,3,0,0,1,1,0,3
91,1,0.1122,157.66,12310,0,0,0,0,0,0,0
92,1,0.087,383.87,61921,0,0,0,0,0,0,0
93,1,0.1122,217.6,16738,2,0,0,0,0,1,2
94,1,0.0807,297.99,40384,1,0,0,0,0,0,1
95,1,0.0775,156.11,1359,2,0,0,0,0,0,2
96,1,0.1154,329.95,107501,2,0,0,0,0,0,2
97,1,0.0807,313.67,3054,3,0,0,0,0,0,3
98,1,0.0807,297.99,40384,0,0,0,0,0,0,0
99,1,0.0933,239.65,128000,3,0,0,0,0,0,3
100,1,0.0712,61.87,4709,0,0,0,0,0,0,0
101,1,0.1186,94.47,2850,0,1,0,0,0,0,1
102,1,0.1501,73.68,51,0,0,0,1,1,0,0
103,1,0.0807,313.67,37152,0,0,0,0,0,0,0
104,1,0.0933,543.2,3839,1,0,0,0,0,0,1
105,1,0.0807,313.67,37152,0,0,0,0,0,0,0
106,1,0.1217,266.37,26283,0,1,0,1,0,1,1
107,1,0.1028,210.6,5607,0,0,0,0,0,0,0
108,1,0.1249,234.15,1061,3,0,0,0,0,0,3
109,1,0.1028,323.99,56740,1,0,0,0,0,0,1
110,1,0.1059,235.96,40598,1,0,0,0,0,1,1
111,1,0.1438,352.22,3815,1,0,0,0,0,0,1
112,1,0.0743,117.31,0,1,0,0,0,0,0,1
113,1,0.0712,64.96,50,0,0,0,0,0,0,0
114,1,0.1565,699.69,4569,1,0,0,0,1,0,1
115,1,0.1059,195.27,8528,0,0,0,0,1,0,0
116,1,0.1122,295.59,14345,0,0,0,0,0,1,0
117,1,0.1122,217.59,113,1,0,0,0,1,0,1
118,1,0.1375,263.09,12231,3,0,0,1,0,0,3
119,1,0.1467,248.43,13552,0,1,0,0,0,0,1
120,1,0.1028,194.4,16813,0,0,0,0,0,1,0
121,1,0.1249,301.04,26233,3,0,1,1,0,0,4
122,1,0.0743,163.92,5760,0,0,0,0,0,0,0
123,1,0.1028,150.66,105,1,1,0,1,0,0,2
124,1,0.1122,217.59,11490,0,0,0,0,0,0,0
125,1,0.1312,85.23,17641,3,1,0,0,0,0,4
126,1,0.1122,328.43,0,3,0,0,0,0,0,3
127,1,0.0807,165.47,12430,1,0,0,0,0,0,1
128,1,0.1091,140.6,12323,0,0,0,0,0,0,0
129,1,0.1028,98.01,38624,0,0,0,0,0,0,0
130,1,0.1217,166.48,875,2,1,0,1,1,0,3
131,1,0.1249,284.32,1196,3,4,0,0,1,0,7
132,1,0.1438,194.15,26628,3,1,0,0,1,0,4
133,1,0.1028,138.51,6752,2,0,0,0,0,0,2
134,1,0.1249,70.25,458,1,0,0,1,0,0,1
135,1,0.0838,252.1,16786,0,0,0,0,0,1,0
136,1,0.0901,263.19,7336,0,0,0,0,0,0,0
137,1,0.0933,104.65,7089,1,0,0,0,0,0,1
138,1,0.0807,172.53,18388,0,0,0,0,0,0,0
139,1,0.0996,38.7,613,2,0,0,0,0,1,2
140,1,0.1249,100.35,566,3,1,0,1,1,0,4
141,1,0.128,335.98,9166,1,0,0,0,0,0,1
142,1,0.1091,163.49,5406,0,0,1,1,0,0,1
143,1,0.0996,32.25,1188,2,0,0,1,0,0,2
144,1,0.0996,96.75,12003,1,0,0,0,1,0,1
145,1,0.1059,72.42,20511,1,0,0,1,0,0,1
146,1,0.0964,90.68,55720,2,0,0,0,1,0,2
147,1,0.0807,259.58,7744,0,0,0,0,0,0,0
148,1,0.0964,169.32,51761,1,0,0,0,0,0,1
149,1,0.1154,205.4,579,0,0,0,0,0,1,0
150,1,0.1312,162.01,34776,0,0,0,1,0,0,0
151,1,0.1028,226.8,8047,0,0,0,0,0,0,0
152,1,0.1059,162.73,0,3,0,0,0,0,0,3
153,1,0.1154,158.38,409,0,1,0,0,0,0,1
154,1,0.0901,795.11,185,0,0,0,0,1,0,0
155,1,0.0996,158.83,48251,2,0,0,0,0,0,2
156,1,0.1028,97.2,772,0,0,0,0,0,0,0
157,1,0.1154,263.97,1019,1,1,0,0,0,0,2
158,1,0.1091,404.62,8332,2,0,0,0,1,0,2
159,1,0.0775,307.53,1790,1,0,0,0,0,0,1
160,1,0.128,839.95,62739,3,0,0,1,0,0,3
161,1,0.1059,269.31,29901,2,0,0,1,0,0,2
162,1,0.1186,265.18,5867,1,0,0,0,0,0,1
163,1,0.0964,802.47,10605,1,0,0,0,0,0,1
164,1,0.1091,505.16,57196,3,0,0,1,0,0,3
165,1,0.0901,318.05,481,2,0,0,1,0,0,2
166,1,0.0838,315.12,2282,1,0,0,0,1,0,1
167,1,0.1091,130.79,3614,1,0,0,0,0,0,1
168,1,0.1059,227.82,14930,1,0,1,0,0,0,2
169,1,0.0996,643.36,33989,0,0,0,0,0,1,0
170,1,0.147,51.78,1238,1,1,0,0,0,0,2
171,1,0.0901,572.48,4746,2,0,0,0,1,0,2
172,1,0.0775,149.87,3470,0,0,0,0,0,0,0
173,1,0.0996,96.75,12640,0,0,0,0,0,0,0
174,1,0.0712,92.8,368,0,0,0,0,0,0,0
175,1,0.1091,192.09,30597,1,1,0,0,0,1,2
176,1,0.1154,593.92,8537,0,0,0,0,0,0,0
177,1,0.1091,392.36,15649,2,0,0,0,0,0,2
178,1,0.0775,156.11,4067,0,0,0,0,1,0,0
179,1,0.1028,155.52,5836,0,0,1,0,0,0,1
180,1,0.1028,485.99,24615,0,0,0,0,0,1,0
181,1,0.1028,116.64,7600,0,0,1,0,0,0,1
182,1,0.1122,223.34,9495,2,0,0,1,0,0,2
183,1,0.0775,149.87,4921,0,0,0,0,0,1,0
184,1,0.1154,211.17,11200,1,0,0,0,1,0,1
185,1,0.0743,186.45,2444,3,0,0,0,0,0,3
186,1,0.0933,790.86,916,0,0,0,0,0,0,0
187,1,0.0901,795.11,148829,5,0,0,1,1,0,5
188,1,0.087,126.65,3209,0,0,0,0,0,1,0
189,1,0.1091,294.27,7570,0,0,0,0,0,1,0
190,1,0.1091,404.62,13126,0,0,1,0,0,0,1
191,1,0.1186,397.77,66654,1,0,0,0,0,0,1
192,1,0.0743,178.68,50,0,0,0,0,0,0,0
193,1,0.1028,29.16,3084,3,0,0,1,1,0,3
194,1,0.0996,417.62,2598,1,0,0,0,1,0,1
195,1,0.1059,130.18,18168,2,0,0,0,0,1,2
196,1,0.1122,98.53,24218,2,0,0,0,0,0,2
197,1,0.0807,15.69,0,0,0,0,0,0,0,0
198,1,0.1091,523.14,72303,1,0,0,0,0,1,1
199,1,0.087,557.23,1032,0,0,0,0,0,0,0
200,1,0.1122,315.3,133,1,0,0,0,0,0,1
201,1,0.1154,527.93,34023,1,2,0,1,0,0,3
202,1,0.0743,93.23,12430,5,0,0,0,0,1,5
203,1,0.0775,202.94,10742,3,0,0,0,0,0,3
204,1,0.1186,165.74,2197,0,2,0,1,0,0,2
205,1,0.1028,158.76,88,1,3,0,1,0,0,4
206,1,0.1028,485.99,13867,0,0,0,0,0,0,0
207,1,0.0996,322.49,3943,3,0,0,1,0,0,3
208,1,0.087,189.97,5405,2,0,0,0,0,0,2
209,1,0.1217,376.24,12102,1,0,0,0,0,0,1
210,1,0.1217,599.33,18076,1,0,0,0,0,0,1
211,1,0.1217,132.35,4504,1,0,0,1,0,0,1
212,1,0.1186,828.69,25852,0,0,0,0,1,0,0
213,1,0.1091,604.88,32438,0,1,0,0,0,1,1
214,1,0.087,538.23,20380,2,0,0,0,0,0,2
215,1,0.0933,172.55,38054,0,0,0,0,0,1,0
216,1,0.1091,604.88,25,2,0,0,0,1,0,2
217,1,0.0996,290.24,3305,2,0,0,0,0,0,2
218,1,0.1186,530.36,348,0,0,0,1,0,1,0
219,1,0.087,158.31,3015,0,0,0,0,0,0,0
220,1,0.1059,390.54,7336,1,0,0,0,0,0,1
221,1,0.1249,301.04,8644,1,0,0,0,0,1,1
222,1,0.1154,659.91,93,2,0,0,1,1,0,2
223,1,0.0743,217.52,2698,0,0,0,0,1,0,0
224,1,0.1028,388.79,19009,0,0,0,0,0,0,0
225,1,0.087,158.31,498,2,1,0,0,0,1,3
226,1,0.1217,319.64,10358,2,0,1,1,0,0,3
227,1,0.1028,103.68,2105,0,3,0,0,0,1,3
228,1,0.0964,154.08,2822,3,0,0,0,0,0,3
229,1,0.1059,650.9,21004,0,0,0,0,0,0,0
230,1,0.1375,81.74,11675,1,0,0,0,0,0,1
231,1,0.0901,238.54,3933,0,0,0,0,0,0,0
232,1,0.128,335.98,7251,3,0,2,0,0,0,5
233,1,0.1217,93.23,88,1,3,0,1,0,0,4
234,1,0.0933,95.87,1492,2,0,0,0,0,0,2
235,1,0.0996,95.94,7121,0,0,0,0,0,0,0
236,1,0.128,554.37,17641,2,0,0,0,0,0,2
237,1,0.1438,859.07,30946,3,0,0,1,1,0,3
238,1,0.0838,472.68,0,0,0,0,0,0,1,0
239,1,0.1091,586.9,23391,1,0,0,0,0,1,1
240,1,0.0964,224.69,16324,0,0,0,0,0,1,0
241,1,0.128,483.81,7104,2,0,0,1,0,0,2
242,1,0.1217,399.55,9273,0,0,0,0,0,0,0
243,1,0.1186,232.04,6718,3,0,0,0,0,0,3
244,1,0.0964,802.47,12017,4,0,0,1,1,0,4
245,1,0.1091,304.9,5749,1,1,0,0,0,0,2
246,1,0.1249,836.23,6530,0,1,0,0,1,0,1
247,1,0.0775,124.89,2666,0,0,0,0,0,0,0
248,1,0.1028,113.4,3761,2,0,0,0,0,0,2
249,1,0.1407,842.47,33698,0,0,0,0,0,1,0
250,1,0.1091,817.41,3472,1,0,0,1,0,0,1
251,1,0.1596,421.65,14534,3,1,0,0,0,0,4
252,1,0.0933,575.17,6703,1,0,0,0,1,0,1
253,1,0.1312,405.03,5861,2,0,0,0,0,0,2
254,1,0.128,167.99,5061,0,1,0,0,0,0,1
255,1,0.0996,677.22,16888,0,0,0,0,0,0,0
256,1,0.1154,131.99,463,0,0,0,0,0,0,0
257,1,0.0933,281.2,0,0,1,0,0,0,0,1
258,1,0.0964,802.47,8283,4,0,0,0,0,0,4
259,1,0.1091,505.16,46525,0,0,0,0,0,1,0
260,1,0.0743,180.23,2650,0,0,0,0,0,0,0
261,1,0.0933,798.84,17,5,0,0,1,1,0,5
262,1,0.0933,319.54,827,2,0,0,1,0,0,2
263,1,0.0964,32.1,961,2,0,0,0,0,0,2
264,1,0.0964,192.6,1554,1,0,0,0,0,0,1
265,1,0.1407,764.64,10753,2,3,0,1,0,0,5
266,1,0.0712,30.94,2227,1,0,0,0,0,0,1
267,1,0.0901,381.66,7606,0,0,1,0,0,1,1
268,1,0.1249,301.04,8355,0,2,0,1,0,0,2
269,1,0.1438,687.25,27293,0,0,0,0,0,1,0
270,1,0.0964,320.99,10157,0,1,0,0,0,0,1
271,1,0.147,862.97,4209,2,0,0,1,1,0,2
272,1,0.0807,250.95,0,1,0,0,0,0,1,1
273,1,0.0743,87.01,1773,1,0,0,0,0,0,1
274,1,0.0775,62.45,949,1,0,0,1,0,0,1
275,1,0.1375,851.41,12308,2,0,0,1,0,0,2
276,1,0.1059,244.09,7914,3,2,0,0,0,1,5
277,1,0.1438,687.25,9150,0,0,0,0,0,0,0
278,1,0.1122,656.86,21777,3,0,0,0,0,0,3
279,1,0.128,537.57,4281,3,0,0,0,0,0,3
280,1,0.0964,320.99,4475,0,0,0,0,0,0,0
281,1,0.0996,386.99,25413,2,0,0,0,0,0,2
282,1,0.0838,315.12,15043,2,0,0,0,1,0,2
283,1,0.1059,292.91,6353,2,0,0,0,0,1,2
284,1,0.0807,125.48,3737,1,0,0,0,0,0,1
285,1,0.0933,383.45,11370,0,2,0,0,0,0,2
286,1,0.1343,523.78,18403,0,1,0,0,0,0,1
287,1,0.1217,199.78,19504,0,0,0,0,0,0,0
288,1,0.0933,575.17,10463,2,0,0,0,0,0,2
289,1,0.0901,95.42,2808,3,1,0,0,0,0,4
290,1,0.0901,477.07,6297,0,0,0,0,0,0,0
291,1,0.0807,345.06,33060,0,0,0,0,0,0,0
292,1,0.1122,155.19,4500,0,0,0,1,0,0,0
293,1,0.0996,644.97,2344,1,0,0,0,0,0,1
294,1,0.0712,92.8,2907,0,0,0,0,0,0,0
295,1,0.0996,306.36,26218,2,0,0,0,0,0,2
296,1,0.1154,143.53,5967,0,0,0,0,0,0,0
297,1,0.0964,288.89,27786,2,0,1,1,0,1,3
298,1,0.0933,87.88,27786,2,0,1,1,0,0,3
299,1,0.0901,381.66,7335,1,1,0,0,0,0,2
300,1,0.1122,197.06,0,1,1,0,0,0,0,2
301,1,0.0807,83.92,19210,0,0,0,0,0,1,0
302,1,0.0964,481.48,11601,3,0,0,0,1,0,3
303,1,0.0996,253.16,991,1,0,0,0,0,0,1
304,1,0.0743,77.69,141287,5,1,0,0,0,0,6
305,1,0.1014,97.0,199,1,1,0,0,0,0,2
306,1,0.1046,259.87,63580,1,0,0,1,0,0,1
307,1,0.0743,124.3,773,0,0,0,0,0,0,0
308,1,0.133,67.68,1042,3,1,0,0,0,0,4
309,1,0.133,406.07,137,1,1,0,1,0,0,2
310,1,0.0983,241.41,1944,0,0,1,0,0,1,1
311,1,0.1393,170.72,16613,1,1,0,1,1,0,2
312,1,0.0838,293.85,0,1,0,0,0,1,0,1
313,1,0.133,318.09,5181,3,0,1,0,0,1,4
314,1,0.092,63.79,597,2,1,0,0,0,1,3
315,1,0.0743,217.52,3202,1,0,0,0,0,0,1
316,1,0.1236,667.74,46086,0,0,0,0,0,1,0
317,1,0.1236,133.55,9380,1,0,1,1,0,0,2
318,1,0.1014,421.14,35944,2,0,0,0,0,0,2
319,1,0.1362,339.94,0,0,1,0,0,0,0,1
320,1,0.1078,365.51,7973,0,0,0,0,0,0,0
321,1,0.0807,313.69,8522,1,0,0,0,0,0,1
322,1,0.1583,876.83,62976,2,2,0,0,0,1,4
323,1,0.1362,316.99,7429,0,0,0,0,0,0,0
324,1,0.1236,701.12,639,1,0,0,1,1,0,1
325,1,0.1014,485.0,14903,0,0,0,0,0,0,0
326,1,0.1236,133.55,2923,3,0,0,0,0,0,3
327,1,0.0838,362.39,18314,1,0,0,0,0,1,1
328,1,0.0712,108.27,150,1,0,0,0,0,0,1
329,1,0.1236,240.39,0,2,0,0,0,0,0,2
330,1,0.0743,62.15,2475,1,1,0,0,0,0,2
331,1,0.0838,66.18,1489,1,0,0,0,0,0,1
332,1,0.1109,327.82,15368,0,0,0,0,0,0,0
333,1,0.0743,69.14,21521,1,0,0,1,0,0,1
334,1,0.1078,313.3,4781,2,0,0,1,0,0,2
335,1,0.1141,329.34,8473,3,1,1,0,0,0,5
336,1,0.1236,292.97,8494,1,0,0,0,0,0,1
337,1,0.0838,315.12,11333,5,0,0,0,0,0,5
338,1,0.0807,225.86,9366,4,0,0,1,0,0,4
339,1,0.0838,63.03,4922,0,0,0,0,0,1,0
340,1,0.1267,536.57,23129,0,1,0,1,0,0,1
341,1,0.1204,126.29,29736,3,0,0,0,1,0,3
342,1,0.0951,192.23,67232,1,0,0,0,0,1,1
343,1,0.1014,97.0,0,0,0,0,0,0,0,0
344,1,0.092,318.93,11496,0,0,0,0,0,0,0
345,1,0.1078,228.45,6999,0,0,0,0,0,1,0
346,1,0.1172,72.78,4863,0,1,0,0,0,0,1
347,1,0.1141,16.47,12229,0,0,1,0,0,0,1
348,1,0.0775,124.89,2325,0,0,0,0,0,0,0
349,1,0.1109,262.26,14653,0,0,0,1,0,0,0
350,1,0.0838,236.34,4286,0,0,0,0,0,1,0
351,1,0.1204,265.87,8009,0,0,0,0,0,0,0
352,1,0.0775,101.47,2353,0,0,0,1,0,0,0
353,1,0.0775,218.55,6634,0,0,0,0,0,0,0
354,1,0.1014,38.8,0,0,0,0,0,0,0,0
355,1,0.1141,247.0,5608,0,0,0,0,0,1,0
356,1,0.1299,673.79,13649,1,0,0,1,0,0,1
357,1,0.1078,79.96,9973,0,0,0,0,0,0,0
358,1,0.1204,498.51,16502,0,0,0,0,0,0,0
359,1,0.1488,692.14,15773,0,0,0,1,0,0,0
360,1,0.0951,800.95,3326,6,0,0,0,1,0,6
361,1,0.0983,289.69,7263,0,0,0,0,0,0,0
362,1,0.0838,264.71,3451,0,0,0,0,0,0,0
363,1,0.1267,117.38,16770,0,0,0,0,0,0,0
364,1,0.1078,293.72,17042,0,0,0,0,0,0,0
365,1,0.1267,563.4,10686,0,0,0,0,0,1,0
366,1,0.092,318.93,45,0,0,0,0,0,1,0
367,1,0.0951,230.68,3247,1,0,0,0,0,0,1
368,1,0.152,730.04,27839,0,1,0,0,0,0,1
369,1,0.0775,312.22,0,1,0,0,0,0,0,1
370,1,0.0807,250.95,17246,1,0,0,0,0,1,1
371,1,0.1425,514.49,14036,0,0,0,0,0,0,0
372,1,0.1046,16.25,5643,0,0,0,0,1,0,0
373,1,0.1204,372.22,17850,1,0,0,0,0,0,1
374,1,0.0951,320.38,8382,1,0,0,0,0,0,1
375,1,0.1836,504.13,24280,3,0,0,0,1,0,3
376,1,0.1172,413.51,8375,3,0,0,0,0,0,3
377,1,0.1014,485.0,6437,4,0,0,0,0,0,4
378,1,0.1172,307.66,16890,0,0,0,0,0,1,0
379,1,0.1078,130.54,887,0,0,0,0,0,0,0
380,1,0.1299,370.59,17771,2,0,0,1,0,0,2
381,1,0.1299,539.03,13115,2,2,0,0,0,0,4
382,1,0.0775,312.22,5028,0,0,0,1,0,1,0
383,1,0.1078,70.17,1,2,0,1,1,0,0,3
384,1,0.1078,440.57,10251,0,0,0,0,0,0,0
385,1,0.092,175.42,6566,1,0,0,0,0,0,1
386,1,0.1046,194.91,9516,1,0,0,0,0,0,1
387,1,0.1172,165.41,2126,1,0,0,0,0,0,1
388,1,0.133,406.07,7209,1,0,0,1,0,0,1
389,1,0.1172,82.71,7180,3,0,0,1,0,0,3
390,1,0.0838,189.08,7386,0,0,0,0,0,0,0
391,1,0.0712,57.23,6035,0,0,0,0,0,0,0
392,1,0.133,338.39,28653,0,0,0,1,1,0,0
393,1,0.1204,498.51,49459,1,2,0,0,0,0,3
394,1,0.1267,737.78,22738,0,1,0,0,0,1,1
395,1,0.092,306.18,24406,1,0,0,1,0,1,1
396,1,0.0951,592.7,25946,0,0,0,0,0,0,0
397,1,0.1014,611.1,0,0,0,0,0,0,0,0
398,1,0.0951,461.35,4765,0,0,1,0,0,0,1
399,1,0.1583,841.76,15222,0,2,0,0,0,0,2
400,1,0.1078,244.76,8035,1,1,1,0,1,0,3
401,1,0.1014,452.67,14214,0,0,0,1,0,0,0
402,1,0.1046,649.68,23442,2,0,0,0,0,0,2
403,1,0.0838,226.89,101443,6,0,0,0,0,1,6
404,1,0.1204,498.51,25988,1,0,0,0,0,0,1
405,1,0.1615,880.78,51039,0,1,0,1,0,0,1
406,1,0.1141,658.67,23370,1,0,0,0,0,0,1
407,1,0.1172,231.57,119420,0,0,0,0,0,0,0
408,1,0.1014,258.67,0,0,0,0,0,0,0,0
409,1,0.1109,157.36,15564,1,0,0,0,0,0,1
410,1,0.1236,300.48,13686,1,0,0,0,0,0,1
411,1,0.1141,658.67,6921,2,0,0,0,0,0,2
412,1,0.1014,129.34,4220,2,0,0,0,0,0,2
413,1,0.1393,170.72,29877,2,0,0,0,0,0,2
414,1,0.133,101.52,21573,1,0,0,1,0,1,1
415,1,0.1078,365.51,18316,1,1,0,1,1,0,2
416,1,0.0775,337.19,1458,1,0,0,0,1,0,1
417,1,0.092,382.72,3179,1,0,1,0,0,0,2
418,1,0.0838,403.36,4365,0,0,0,0,0,0,0
419,1,0.0775,305.97,209,0,0,0,0,0,1,0
420,1,0.133,676.78,12573,2,1,0,0,0,0,3
421,1,0.1236,767.89,806,2,0,0,1,0,1,2
422,1,0.1109,491.73,4134,1,0,0,1,0,0,1
423,1,0.1172,496.22,0,1,0,0,0,0,0,1
424,1,0.1078,228.45,22157,0,0,0,0,0,1,0
425,1,0.1109,819.54,54925,0,0,0,0,0,0,0
426,1,0.1078,261.08,50908,0,2,0,0,0,1,2
427,1,0.1078,81.59,16164,1,0,0,0,0,1,1
428,1,0.1078,278.22,14046,0,0,0,1,0,0,0
429,1,0.0775,312.22,4767,0,0,0,0,0,0,0
430,1,0.1141,59.28,23882,0,0,0,0,0,0,0
431,1,0.0807,376.43,674,1,0,0,0,1,0,1
432,1,0.0983,804.69,56842,6,0,0,0,1,0,6
433,1,0.1046,812.09,19948,2,0,0,0,0,0,2
434,1,0.1078,130.54,10979,0,2,0,0,0,0,2
435,1,0.1141,329.34,14643,0,0,0,0,0,0,0
436,1,0.1172,99.25,15680,1,0,0,0,0,0,1
437,1,0.1362,381.58,16670,0,0,0,0,0,0,0
438,1,0.1078,310.03,2624,1,0,0,0,0,0,1
439,1,0.0838,78.78,2773,1,0,0,0,0,0,1
440,1,0.0951,608.72,2279,3,0,0,0,0,0,3
441,1,0.0983,386.25,28110,0,0,0,0,0,0,0
442,1,0.092,669.76,997,2,0,0,0,1,0,2
443,1,0.092,478.4,2787,1,0,0,0,0,0,1
444,1,0.0838,567.22,1612,4,0,0,1,0,0,4
445,1,0.1488,346.07,10214,1,2,1,0,0,1,4
446,1,0.1425,685.99,19892,2,0,0,0,0,0,2
447,1,0.092,255.15,1834,1,0,0,0,0,0,1
448,1,0.1204,498.51,108397,3,0,0,0,0,0,3
449,1,0.0775,124.89,3348,0,0,0,0,0,0,0
450,1,0.0743,217.52,983,1,0,0,0,0,0,1
451,1,0.0983,241.41,603,0,1,0,0,0,0,1
452,1,0.133,406.07,13662,0,1,0,0,0,0,1
453,1,0.06,467.45,26044,3,0,0,0,0,0,3
454,1,0.0983,386.25,16212,0,0,0,0,0,1,0
455,1,0.0983,257.5,8516,0,0,0,0,0,0,0
456,1,0.0807,62.74,3953,0,0,0,0,0,1,0
457,1,0.092,223.26,12672,3,3,0,0,0,1,6
458,1,0.0951,320.38,1346,2,0,0,0,0,0,2
459,1,0.092,318.93,12425,0,0,0,0,0,0,0
460,1,0.1393,527.52,12032,3,0,1,1,0,0,4
461,1,0.0775,327.83,14377,0,0,0,0,0,1,0
462,1,0.0951,640.76,464,8,0,0,1,0,0,8
463,1,0.1172,196.84,10900,3,0,0,0,0,0,3
464,1,0.1046,42.23,7006,1,0,1,0,0,0,2
